bengali,bishnupriya,kind,uses,screens
বিষ্ণুপ্রিয়া মণিপুরি তথ্যকোষ,,ui,2,"PortalDrawer.kt, SiteFooter.kt"
বিষ্ণুপ্রিয়া মণিপুরি ভাষা আন্দোলনের ইতিহাস কী?,,ui,2,MainViewModels.kt
ব্যবহারকারীর প্রশ্ন / নির্দেশ: …,,ui,2,NinghsingCheAiAssistant.kt
ব্রাউজারে খুলুন,,ui,2,"HtmlArticleRenderer.kt, VideoPlayer.kt"
ভূমিকা,,content,2,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
মণিপুরি সমাজে 'মিংকৌ' নামপ্রথা কী?,,ui,2,MainViewModels.kt
মণিপুরি সমাজের ঐতিহ্যবাহী 'ইঞ্চৌঘর' কী?,,ui,2,MainViewModels.kt
মন্তব্য প্রকাশিত হয়েছে,,ui,2,"ContentUpdateNotifier.kt, InboxModels.kt"
মিংকৌ,,content,2,"NinghsingCheAiAssistant.kt, NinghsingCheContentData.kt"
রাস,,ui,2,"MusicGenres.kt, NinghsingCheAiAssistant.kt"
লগ আউট,,ui,2,"AccountHeaderButton.kt, SettingsScreen.kt"
লোকগাথা,,content,2,NinghsingCheContentData.kt
শহীদ সুদেষ্ণা সিংহ,,content,2,NinghsingCheContentData.kt
শিরোনাম,,ui,2,"NewArticleScreen.kt, NewMusicScreen.kt"
শেয়ার করুন,,ui,2,"ArticleScreen.kt, EditorialComponents.kt"
সংরক্ষণ সরানো হয়েছে,,ui,2,MainViewModels.kt
সংরক্ষিত,,ui,2,"BookmarksScreen.kt, PortalDrawer.kt"
সংস্কৃতি ও উৎসব,,ui,2,SupabaseModels.kt
সকল PDF,,content,2,"ArticleRepository.kt, NinghsingCheContentData.kt"
সব সংরক্ষিত,,ui,2,"Entities.kt, Models.kt"
সম্পাদক,,ui,2,"NingshingCheWebsiteClient.kt, SupabaseModels.kt"
সম্পাদকীয়,,ui,2,"EditorialComponents.kt, NinghsingCheAiAssistant.kt"
সরান,,ui,2,"NewMusicScreen.kt, UserDashboardScreen.kt"
সাইন ইন,,ui,2,"AccountHeaderButton.kt, LoginScreen.kt"
সারসংক্ষেপ,,ui,2,NinghsingCheAiAssistant.kt
স্মৃতি,,content,2,"NinghsingCheContentData.kt, NingshingCheWebsiteClient.kt"
১৬ই মার্চ,,content,2,NinghsingCheContentData.kt
… বিষয়ে নিংশিং চে-তে প্রকাশিত প্রবন্ধসমূহ।,,ui,2,NingshingCheWebsiteClient.kt
… মি.,,ui,2,EditorialComponents.kt
… মিনিট,,ui,2,"EditorialComponents.kt, MusicPlayer.kt"
### «…» — নিবন্ধ বিশ্লেষণ,,ui,1,NinghsingCheAiAssistant.kt
### নিংশিং চে ডাটাবেজের প্রাসঙ্গিক নিবন্ধসমূহ:,,ui,1,NinghsingCheAiAssistant.kt
### সংশ্লিষ্ট বই/ই-বুক তালিকা:,,ui,1,NinghsingCheAiAssistant.kt
### সম্পর্কিত জিজ্ঞাসা:,,ui,1,NinghsingCheAiAssistant.kt
### সম্পর্কিত প্রশ্ন:,,ui,1,NinghsingCheAiAssistant.kt
### সম্পর্কিত প্রশ্নসমূহ:,,ui,1,NinghsingCheAiAssistant.kt
### সম্পর্কিত লেখক পরিচিতি:,,ui,1,NinghsingCheAiAssistant.kt
#### এই বিষয়ে আরও প্রাসঙ্গিক প্রবন্ধ:,,ui,1,NinghsingCheAiAssistant.kt
(20\d{2}|২০\d{2}),,ui,1,NingshingCheWebsiteClient.kt
"(?:জানুয়ারি|ফেব্রুয়ারি|মার্চ|এপ্রিল|মে|জুন|জুলাই|আগস্ট|সেপ্টেম্বর|অক্টোবর|নভেম্বর|ডিসেম্বর)[^<]{0,18}২০\d{2}",,ui,1,NingshingCheWebsiteClient.kt
**গুরুত্বপূর্ণ অংশসমূহ:**,,ui,1,NinghsingCheAiAssistant.kt
**ট্যাগ:** ${article.tags.joinToString(,,ui,1,NinghsingCheAiAssistant.kt
**নিবন্ধ থেকে প্রাপ্ত প্রাসঙ্গিক অংশ:**,,ui,1,NinghsingCheAiAssistant.kt
**নিবন্ধের মূল বার্তা ও সারসংক্ষেপ:**,,ui,1,NinghsingCheAiAssistant.kt
**মূল পাঠ্যাংশ/সারসংক্ষেপ:** …,,ui,1,NinghsingCheAiAssistant.kt
**লেখক:** … | **বিভাগ:** … | **প্রকাশকাল:** …,,ui,1,NinghsingCheAiAssistant.kt
**সম্পর্কিত জিজ্ঞাসা:**,,ui,1,NinghsingCheAiAssistant.kt
**সম্পর্কিত প্রশ্ন:**,,ui,1,NinghsingCheAiAssistant.kt
"- **…** (লেখক/সম্পাদক: …, প্রকাশকাল: …)",,ui,1,NinghsingCheAiAssistant.kt
--- *তথ্যসূত্র: নিংশিং চে ডিজিটাল আর্কাইভের «…» নিবন্ধ*,,ui,1,NinghsingCheAiAssistant.kt
AI বিশ্লেষণ ও উত্তর প্রস্তুত করা হচ্ছে...,,ui,1,AiAssistantScreen.kt
AI সহকারী লুকান,,ui,1,AiAssistantScreen.kt
AI সহকারীকে জিজ্ঞাসা করুন,,ui,1,EditorialComponents.kt
APK শেয়ার করুন,,ui,1,SettingsScreen.kt
APK শেয়ার প্রস্তুত করা সম্ভব হয়নি,,ui,1,SettingsScreen.kt
APK সংরক্ষণ করুন,,ui,1,SettingsScreen.kt
APK সংরক্ষণ ব্যর্থ হয়েছে,,ui,1,SettingsScreen.kt
APK সফলভাবে ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে!,,ui,1,SettingsScreen.kt
Downloads/Ningshingche/… ফোল্ডারে সফলভাবে সংরক্ষিত হয়েছে!,,ui,1,ApkManager.kt
Downloads/Ningshingche_PDFs/… ফোল্ডারে সংরক্ষিত হয়েছে!,,ui,1,PdfHelper.kt
Facebook আইডি / লিংক,,ui,1,UserProfileScreen.kt
Facebook আইডি দিন।,,ui,1,ReaderWorkspaceViewModel.kt
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন,,ui,1,LoginScreen.kt
Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন। একবার সাইন-ইন করলে অ্যাপ বন্ধ করলেও সেশন থাকবে।,,ui,1,SettingsScreen.kt
Google ও Supabase-এ Web Client ID মিলছে না। Dashboard → Authentication → Google-এ Web Client ID দিন।,,ui,1,SupabaseClient.kt
Google কনসোলে এই অ্যাপের প্যাকেজ নাম (com.ningshingche.app) ও সাইনিং SHA-1 মিলছে না। Debug ও Release দুই SHA-1 Android OAuth ক্লায়েন্টে যোগ করুন।,,ui,1,GoogleAuthMapper.kt
Google দিয়ে চালিয়ে যান,,ui,1,GoogleSignInButton.kt
HTML লেখা,,ui,1,HtmlContentEditor.kt
ImgBB API Key পাওয়া যায়নি। সেটিংস বা এনভায়রনমেন্ট কনফিগারেশন চেক করুন।,,ui,1,ImgBbUploader.kt
ImgBB আপলোড ব্যর্থ হয়েছে: …,,ui,1,ImgBbUploader.kt
ImgBB ত্রুটি: …,,ui,1,ImgBbUploader.kt
PDF আর্কাইভ,,ui,1,PortalDrawer.kt
PDF প্রকাশনা শেয়ার করুন,,ui,1,PdfHelper.kt
Supabase-এ Google সাইন-ইন চালু নেই। Authentication → Providers → Google চালু করুন।,,ui,1,SupabaseClient.kt
^(?:নিংশিংচে|ningshingche|ningshing-che)-?(\\d{4})$,,ui,1,IssueTags.kt
_নিচে তথ্যসূত্র কার্ড থেকে মূল প্রবন্ধ পড়তে পারেন।_,,ui,1,NinghsingCheAiAssistant.kt
ningshingche.com ওয়েবসাইটে যান,,ui,1,SettingsScreen.kt
ningshingche.com • সংস্করণ ১.০,,ui,1,SplashScreen.kt
© ২০২৬ … | সাইট উন্নয়ন,,ui,1,SiteFooter.kt
«…» সম্পর্কে আরও বিস্তারিত তথ্য জানা যাবে কি?,,ui,1,NinghsingCheAiAssistant.kt
· …টি গান,,ui,1,MusicBrowseScreens.kt
অক্টো,,ui,1,UserDashboardCharts.kt
অজানা ত্রুটি,,ui,1,ImgBbUploader.kt
অটোপ্লে,,ui,1,MusicPlayer.kt
অডিও আপলোড যায়নি (…)।,,ui,1,SupabaseClient.kt
অডিও আপলোড যায়নি।,,ui,1,ReaderWorkspaceViewModel.kt
অডিও আপলোডের অনুমতি নেই। আবার সাইন ইন করে চেষ্টা করুন।,,ui,1,SupabaseClient.kt
অডিও ফাইল খালি।,,ui,1,SupabaseClient.kt
অডিও ফাইল পড়া যায়নি।,,ui,1,SupabaseClient.kt
অডিওতে ফিরুন,,ui,1,MusicPlayer.kt
অধ্যাপক বারীন্দ্র কুমার সিংহ ও সম্পাদনা পরিষদ,,content,1,NinghsingCheContentData.kt
"অনন্য রাগ, পাখোয়াজ ও করতাল সংবলিত মণিপুরি লোকসংগীতের গভীরতা, বৈষ্ণব পদাবলী এবং বাউলধারার সমন্বিত রূপ।",,content,1,NinghsingCheContentData.kt
অনুমোদনের পর আপনার মন্তব্য এখানে প্রকাশিত হবে।,,ui,1,ArticleScreen.kt
"অন্তত দুই অক্ষর লিখুন। শিরোনাম, উপশিরোনাম ও স্লাগে খোঁজা হয়।",,ui,1,ListScreens.kt
অন্বেষণ,,ui,1,PortalDrawer.kt
অন্য অ্যাপে খুলুন,,ui,1,PdfViewerScreen.kt
অন্য ধরন লিখুন,,ui,1,GenreCombobox.kt
অন্য শব্দ দিয়ে খুঁজুন বা বিভাগ ফিল্টার বদলান।,,ui,1,BookmarksScreen.kt
অপর্ণা,,content,1,AuthorProfiles.kt
অফলাইন ক্যাশ সিঙ্ক ও পরিষ্কার করুন,,ui,1,SettingsScreen.kt
অফলাইন ক্যাশে …টি প্রবন্ধ,,ui,1,ArticleRepository.kt
অফলাইনে পড়ার জন্য সংরক্ষিত লেখা,,ui,1,BookmarksScreen.kt
অফলাইনে সংরক্ষিত,,ui,1,MusicPlayer.kt
অরুন,,content,1,AuthorProfiles.kt
অর্চনা,,content,1,AuthorProfiles.kt
অ্যাডমিন,,ui,1,UserDashboardScreen.kt
অ্যাডমিন নতুন বার্তা পাঠালে,,ui,1,AppNotificationManager.kt
অ্যাডমিন বার্তা,,ui,1,AppNotificationManager.kt
অ্যাডমিনকে প্রশ্ন বা অনুরোধ পাঠান। উত্তর এখানে দেখাবে।,,ui,1,UserDashboardScreen.kt
অ্যানোটেশন দেখান,,ui,1,PdfViewerScreen.kt
অ্যান্ড্রয়েড সিস্টেম নোটিফিকেশন চালু রাখুন,,ui,1,SettingsScreen.kt
অ্যাপ আপডেট হয়েছে,,ui,1,ContentUpdateNotifier.kt
অ্যাপ ও সাইট হালনাগাদ,,ui,1,AppNotificationManager.kt
অ্যাপ থিম নির্বাচন,,ui,1,SettingsScreen.kt
অ্যাপ শেয়ার করুন,,ui,1,PortalDrawer.kt
অ্যাপ সংস্করণ ও সাইট হালনাগাদ,,ui,1,SettingsScreen.kt
অ্যাপে MP3 সংরক্ষণ,,ui,1,MusicPlayer.kt
আগস্ট,,ui,1,UserDashboardCharts.kt
আগের কাজ,,ui,1,HtmlContentEditor.kt
আগের গান,,ui,1,MusicPlayer.kt
আগের ছবি,,ui,1,EditorialComponents.kt
আগের পৃষ্ঠা,,ui,1,PdfViewerScreen.kt
আগের বার্তা লোড করুন,,ui,1,UserDashboardScreen.kt
আজ,,ui,1,ArticleRepository.kt
আধুনিক,,ui,1,MusicGenres.kt
"আধুনিক বিষ্ণুপ্রিয়া মণিপুরি প্রবন্ধ, কবিতা, ডিজিটাল সাহিত্য ও সমকালীন শিল্পভাবনার সংকলন।",,content,1,NinghsingCheContentData.kt
আধুনিক বিষ্ণুপ্রিয়া মণিপুরি সাহিত্য ও ডিজিটাল তথ্য সংরক্ষণের বিশেষ সংখ্যা।,,content,1,NinghsingCheContentData.kt
আধুনিক যুগে মণিপুরি ইঞ্চৌঘরের ঐতিহ্য কীভাবে সংরক্ষিত হচ্ছে?,,ui,1,NinghsingCheAiAssistant.kt
আধুনিক সাহিত্য,,content,1,NinghsingCheContentData.kt
আধ্যাত্মিক,,ui,1,MusicGenres.kt
আপনার কোনো মন্তব্য পাওয়া যায়নি।,,ui,1,UserDashboardScreen.kt
আপনার নাম *,,ui,1,ArticleCommentForm.kt
আপনার পছন্দের প্রদর্শন শৈলী নির্বাচন করুন:,,ui,1,SettingsScreen.kt
আপনার মন্তব্য সফলভাবে প্রকাশিত হয়েছে!,,ui,1,ArticleRepository.kt
আপনার মূল্যবান মন্তব্য *,,ui,1,ArticleCommentForm.kt
আপনার সংরক্ষিত প্লেলিস্ট,,ui,1,MusicScreen.kt
আপনি,,ui,1,UserDashboardScreen.kt
আপলোড সার্ভার এখন সাড়া দিচ্ছে না (…)।,,ui,1,SatoruUploadClient.kt
আপলোড সার্ভার ঠিকানা দেয়নি।,,ui,1,SatoruUploadClient.kt
আমাদের অনুসরণ করুন,,ui,1,SiteFooter.kt
