key,value
উত্তর লিখুন…,Write an answer…
উত্তর সম্পাদনা,Edit the answer
উত্তর ৪০০০ অক্ষরের বেশি হতে পারবে না।,An answer cannot be longer than 4000 characters.
উত্তরগুলো লুকান,Hide the answers
উত্তরসমূহ,Answers
উত্তরসমূহ (৩),Answers (3)
উপর-নিচ স্ক্রল করে পুরো বই পড়ুন।,Scroll up and down to read the whole book.
উৎসব,Festival
এআই সহায়িকা,AI assistant
এই {1}-এ কোনো গান নেই।,There are no songs in this {1}.
এই অডিও ফর্ম্যাট সাপোর্টেড নয়। এমপি৩ নির্বাচন করুন।,This audio format is not supported. Choose MP3.
এই গানের অডিও ফাইল নেই।,This song has no audio file.
এই গানের লিরিক এখনো যোগ করা হয়নি।,The lyrics of this song have not been added yet.
এই ডিভাইসে কোনো Google অ্যাকাউন্ট পাওয়া যায়নি। একটি Google অ্যাকাউন্ট যোগ করে আবার চেষ্টা করুন।,No Google account was found on this device. Add a Google account and try again.
এই ডিভাইসে সংরক্ষিত MP3,MP3 saved on this device
এই নিবন্ধ থেকে কী কী মূল বিষয় বা শিক্ষা পাওয়া যায়?,What are the main points or lessons of this article?
এই নিবন্ধ সম্পর্কে প্রশ্ন লিখুন...,Write a question about this article...
এই নিবন্ধে এই বিষয়ে কোনো তথ্য উল্লেখ করা হয়নি। নিংশিং চে মূল এআই সহায়িকায় প্রশ্নটি জিজ্ঞাসা করতে পারেন।,This article says nothing on this subject. You can ask the question in the main Ningshing Che AI assistant.
এই নিবন্ধে লেখকের মূল বক্তব্য ও লক্ষ্য কী?,What is the author's main point and aim in this article?
এই নিবন্ধের একটি সংক্ষিপ্ত ও গোছানো সারসংক্ষেপ দিন।,Give a short and tidy summary of this article.
এই নিবন্ধের মূল বার্তা বা সিদ্ধান্ত কী?,What is the main message or conclusion of this article?
এই পাতা নিবন্ধিত পাঠকের জন্য,This page is for registered readers
এই প্রবন্ধে কোনো বিষয়বস্তু পাওয়া যায়নি।,No content was found in this article.
এই বইয়ের পিডিএফ লিংক নেই।,This book has no PDF link.
এই বিভাগ পাওয়া যায়নি।,This category was not found.
এই বিভাগে এখনো কোনো আলোচনা হয়নি।,There is no discussion in this category yet.
এই বিভাগের আলোচনাগুলো,The discussions in this category
এই ব্যবহারকারী এখনো কোনো আলোচনা শুরু করেননি।,This user has not started a discussion yet.
এই ব্যবহারকারী এখনো কোনো উত্তর লেখেননি।,This user has not written an answer yet.
এই ব্যবহারকারীর এখনো কোনো গান প্রকাশিত হয়নি।,This user has not published a song yet.
এই ব্যবহারকারীর এখনো কোনো প্রকাশিত প্রবন্ধ নেই।,This user has no published article yet.
এই ব্যবহারকারীর পাতা পাওয়া যায়নি।,This user's page was not found.
এই মাসে এখনো কেউ পয়েন্ট নেয়নি।,Nobody has scored a point this month yet.
এই মাসের পয়েন্ট,This month's points
এক পাতায় একটি পৃষ্ঠা। বাঁদিকে/ডানদিকে সোয়াইপ করলে পাতা উল্টে।,One page at a time. Swipe left or right to turn the page.
একটি আলোচনায় সর্বোচ্চ {1}টি ফাইল যুক্ত করা যাবে।,At most {1} files can be added to one discussion.
একটি উত্তরে সর্বোচ্চ {1}টি ফাইল যুক্ত করা যাবে।,At most {1} files can be added to one answer.
একমত,Agree
একমত {1} ·,Agree {1} ·
এখন নয়,Not now
এখন বাজছে,Playing now
এখনো কেউ উত্তর দেয়নি। আপনিই প্রথম উত্তর দিন।,Nobody has answered yet. Be the first to answer.
এখনো কোনো আলোচনা হয়নি। প্রথম আলোচনাটি আপনিই শুরু করুন।,No discussion yet. Start the first one yourself.
এখনো কোনো আলোচনায় উত্তর আসেনি।,No answer has come in any discussion yet.
এখনো কোনো গান জমা দেননি।,No song has been submitted yet.
এখনো কোনো গান পছন্দ করা হয়নি।,No song has been liked yet.
এখনো কোনো গান যোগ করা হয়নি।,No song has been added yet.
এখনো কোনো নির্বাচিত লেখা নেই।,There is no featured writing yet.
এখনো কোনো প্রবন্ধ জমা দেওয়া হয়নি।,No article has been submitted yet.
এখনো কোনো প্রবন্ধ জমা দেননি।,You have not submitted an article yet.
এখনো কোনো প্রবন্ধ প্রকাশিত হয়নি।,No article has been published yet.
এখনো কোনো প্রবন্ধ বা গান জমা দেননি।,You have not submitted an article or a song yet.
এখনো কোনো বার্ষিক সংখ্যা প্রকাশিত হয়নি।,No annual issue has been published yet.
এখনো কোনো বিজ্ঞপ্তি নেই। প্রবন্ধ বা মন্তব্য প্রকাশিত হলে এখানে দেখাবে।,No notification yet. Article and comment news appears here.
এখনো কোনো ভিডিও প্রকাশিত হয়নি।,No video has been published yet.
এখনো কোনো মন্তব্য নেই,No comment yet
এখনো প্রশাসকের কোনো আলোচনা নেই।,The admin has no discussion yet.
এখনো ফোরামে কিছু লেখা হয়নি।,Nothing has been written in the forum yet.
এখানে কোনো প্রবন্ধ পাওয়া যায়নি।,No article was found here.
এগুলোও পড়ুন,Read these too
এপ্রিল,April
এভাবে প্রকাশিত হবে,It will appear like this
এমপি৩ ফাইল নির্বাচন করুন।,Choose an MP3 file.
এলাহান বরিক,এলাহান বরিক
ঐতিহ্যবাহী,Traditional
ঐতিহ্যবাহী ইঞ্চৌঘরের বিভিন্ন অংশের নাম ও সামাজিক তাৎপর্য কী?,What are the names and social meaning of the different parts of the traditional ইঞ্চৌঘর?
ওয়েবসাইট (ঐচ্ছিক),Website (optional)
কন্টেন্ট,Content
কপি করুন,Copy
কপিরাইট © নিংশিং চে • সর্বস্বত্ব সংরক্ষিত,Copyright © Ningshing Che • all rights reserved
কবিতা,Poetry
কভার ছবি,Cover photo
কভার ছবি (ঐচ্ছিক),Cover photo (optional)
কভার ছবি নির্বাচন (ঐচ্ছিক),Choose a cover photo (optional)
কভার ছবি বদলান,Change the cover photo
কভার ছবি সরান,Remove the cover photo
কম দেখান,Show less
কমা বা ট্যাব চাপলে চিপ হবে,Press comma or Tab to make a chip
কার্যক্রম,Activity
কুমেই,Kumei
কেহেম আইটি,Kehem IT
কোন মন্তব্য,No comment
কোনো অ্যালবাম নেই।,No album yet.
কোনো অ্যালবাম মেলেনি।,No album matched.
কোনো গান অ্যাপে সংরক্ষণ করা হয়নি।,No song has been saved in the app.
কোনো গান মেলেনি।,No song matched.
কোনো তথ্য পাওয়া যায়নি।,No information was found.
কোনো ধরন নেই।,No genre yet.
কোনো ধরন মেলেনি।,No genre matched.
কোনো ফলাফল নেই,No results
কোনো ফিচার্ড প্রবন্ধ পাওয়া যায়নি।,No featured article was found.
কোনো বিভাগ পাওয়া যায়নি।,No category was found.
কোনো মিল পাওয়া যায়নি,No match found
কোনো লেখক পাওয়া যায়নি।,No author was found.
কোনো শিল্পী নেই।,No artist yet.
কোনো শিল্পী মেলেনি।,No artist matched.
কোনো সংরক্ষিত প্রবন্ধ নেই,No saved article
ক্যাটাগরির প্রবন্ধহানি,The category's articles
ক্যাশ খালি করা হয়েছে এবং তথ্য হালনাগাদ করা হয়েছে,The cache was cleared and the data updated
খোঁজার ফলাফল,Search results
"গরম কাগজ আর মাটির রঙ, দীর্ঘ পড়ার জন্য","Warm paper and clay tones, for long reading"
গান,Songs
গান {1},Song {1}
গান {1}টি,{1} songs
গান · {1},Songs · {1}
গান আপলোড যায়নি ({1})।,The song could not be uploaded ({1}).
গান জমা যায়নি ({1})। প্রোফাইল সম্পূর্ণ করে আবার চেষ্টা করুন।,The song could not be submitted ({1}). Complete your profile and try again.
গান জমা যায়নি।,The song could not be submitted.
গান জমা যায়নি। আবার সাইন ইন করে চেষ্টা করুন।,The song could not be submitted. Sign in again and try.
গান জমা হয়েছে,Song submitted
গান জমা হয়েছে। সম্পাদকীয় পর্যালোচনার পর যুক্ত হবে।,The song is submitted. It is added after editorial review.
গান বাজানো যায়নি। ফাইল লিংক যাচাই করুন।,The song could not be played. Check the file link.
গান ভিউ,Song views
গান যোগ,Add a song
"গান, শিল্পী, অ্যালবাম, ধরন…","Song, artist, album, genre…"
গানের ফাইল পাওয়া যায়নি।,The song file was not found.
গানের ফাইল লিংক নেই।,The song has no file link.
গানের বিবরণ,Song details
গানের লিংক মেয়াদ শেষ বা বন্ধ। ড্যাশবোর্ড থেকে MP3 আবার আপলোড করুন।,The song link has expired or is closed. Upload the MP3 again from the dashboard.
গৃহ,Home
গোপনীয়তা নীতি,Privacy policy
গোলাপ,Rose
গোলাপি আর নীল — উষ্ণ অথচ শান্ত,Pink and blue — warm yet calm
গ্যালারি ও অন্যান্য আপডেট,Gallery and other updates
গ্যালারি ও বাকি আপডেট,Gallery and the rest of the updates
গ্রন্থাগার,Library
ঘর,Home
চলচ্চিত্র,Films
চাকা ঘুরিয়ে নিজের অ্যাকসেন্ট বেছে নিন,Turn the wheel to pick your own accent
"চাকা ঘুরিয়ে রঙ, কেন্দ্র থেকে দূরে টেনে গাঢ়তা — দুটোই এক আঙুলে।","Turn the wheel for the colour, pull away from the centre for depth — both with one finger."
চালান,Play
চালু করে শেষ করুন,Turn it on and finish
চোখে-আরাম,Eye comfort
ছবি,Photos
ছবি ImgBB-তে আপলোড হবে; না দিলেও আলোচনা খোলা যাবে।,The photo uploads to ImgBB; you can still open the discussion without one.
ছবি আপডেট,Update the photo
ছবি আপলোড যায়নি।,The photo could not be uploaded.
ছবি আপলোড হচ্ছে…,Uploading the photo…
ছবি আপলোড হয়নি।,The photo was not uploaded.
ছবি ঘর,Photo gallery
ছবি বদলান,Change the photo
ছবি বা পিডিএফ,Photo or PDF
ছবি যোগ,Add a photo
ছবি যোগ করুন,Add a photo
ছবি লোড করা যায়নি,The photo could not be loaded
ছবি শেয়ার করুন,Share the photo
ছবি সংরক্ষণ যায়নি।,The photo could not be saved.
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Exceeds 32MB limit: {1}MB),The photo cannot be larger than 32 MB (exceeds 32MB limit: {1}MB)
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারবে না (Image exceeds 32MB),The photo cannot be larger than 32 MB (image exceeds 32MB)
ছবির আকার ৩২ মেগাবাইটের বেশি হতে পারে না।,The photo cannot be larger than 32 MB.
ছবির ঠিকানা পাওয়া যায়নি।,No address for the photo was found.
ছবির ফাইল পড়া যাচ্ছে না (Cannot read image file),The photo file cannot be read (cannot read image file)
ছেড়ে দিলে ছোট হয়ে যাবে,Release to make it smaller
ছোট করুন,Smaller
জনপ্রিয়,Popular
জনপ্রিয় ও নির্বাচিত,Popular and featured
জমা দিন,Submit
জানু,Jan
জানুয়ারি,January
জিজ্ঞাসা করুন,Ask
জীবনী,Biography
জুন,June
জুম করতে দুই আঙুল ব্যবহার করুন,Use two fingers to zoom
জুম রিসেট করতে ট্যাপ করুন,Tap to reset the zoom
জুলাই,July
জেলা / দেশ (ঐচ্ছিক),District / country (optional)
"জ্ঞান, ইতিহাস ও সাহিত্যের মুক্ত তথ্যকোষ","A free encyclopedia of knowledge, history and literature"
ট্যাগসমূহ,Tags
"ঠান্ডা কাগজ, ইন্ডিগো আর সোনালি","Cool paper, indigo and gold"
ঠার,Language
ঠিকানা,Address
ঠিকানা দিন।,Enter the address.
"ঠিকানা: তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট","Address: Tilakpur, Kamalganj, Moulvibazar, Sylhet"
ডাউনলোড,Download
ডাউনলোড ফোল্ডারে সংরক্ষিত হয়েছে: {1},Saved in the Downloads folder: {1}
ডাউনলোড ব্যর্থ হয়েছে: {1},Download failed: {1}
ডাউনলোড হচ্ছে...,Downloading...
ডাউনলোড হয়নি,Not downloaded
ডাউনলোড হয়নি।,It was not downloaded.
ডাকনাম,Nickname
ডার্ক,Dark
ডার্ক থিম,Dark theme
ডিজিটাল গ্রন্থাগার,Digital library
ডিজিটাল বই ও পত্রিকা প্রকাশিত হলে,When a digital book or magazine is published
ডিভাইসে সফলভাবে ডাউনলোড হয়েছে: {1},Downloaded to the device: {1}
ডিসে,Dec
ডিসেম্বর,December
ডেটাবেজ আপডেট প্রয়োজন।,A database update is needed.
ডেটাবেজ টেবিল পাওয়া যায়নি। অনুগ্রহ করে সার্ভার কনফিগারেশন যাচাই করুন।,The database table was not found. Please check the server configuration.
ড্যাশবোর্ড,Dashboard
ড্যাশবোর্ড ও নতুন প্রবন্ধ ব্যবহার করতে প্রোফাইলের সব আবশ্যক ঘর পূরণ করুন।,Fill in every required profile field to use the dashboard and new articles.
তথ্য লোড করতে সমস্যা হয়েছে।,There was a problem loading the data.
তথ্য লোড করতে সমস্যা হয়েছে। অনুগ্রহ করে আবার চেষ্টা করুন।,There was a problem loading the data. Please try again.
তথ্যসূত্র ও গবেষণা প্রবন্ধ:,Sources and research articles:
তাক {1},Shelf {1}
তামকরিক,Tamkarik
তালিকা,List
তালিকা আনা যায়নি।,Could not load the list.
তালিকা পড়তে ডেটাবেস আপডেট দরকার — 033_profile_paging.sql চালান।,A database update is needed to read the list — run 033_profile_paging.sql.
তালিকাটি লোড হয়নি।,The list did not load.
"তিলকপুর, কমলগঞ্জ, মৌলভীবাজার, সিলেট","Tilakpur, Kamalganj, Moulvibazar, Sylhet"
তৈরি,Create
তৈরি করুন,Create
থামান,Stop
থিম: ডার্ক,Theme: Dark
থিম: লাইট,Theme: Light
থিম: সিস্টেম (স্বয়ংক্রিয়),Theme: System (automatic)
"দুঃখিত, উত্তর তৈরি করতে সমস্যা হয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।","Sorry, there was a problem preparing the answer. Please try again."
"দুঃখিত, তথ্য সংগ্রহে একটি ত্রুটি দেখা দিয়েছে। অনুগ্রহ করে পুনরায় চেষ্টা করুন।","Sorry, an error came up while gathering the information. Please try again."
দুবার ট্যাপে জুম,Double-tap to zoom
দৃশ্য,View
দেখা হয়েছে,Seen
দেশাত্মবোধক,Patriotic
দ্রুত লিংকসমূহ,Quick links
ধরন,Genre
ধরন / ক্যাটাগরি,Genre / category
ধর্ম,Religion
ধ্রুমেল,Dhrumel
ন,N
নতুন PDF বই,New PDF books
নতুন PDF বই প্রকাশিত হলে,When a new PDF book is published
নতুন আলোচনা,New discussion
নতুন উত্তর,New answer
নতুন ও নির্বাচিত প্রবন্ধ প্রকাশিত হলে,When a new or featured article is published
নতুন কিছু প্রকাশিত হলে অ্যান্ড্রয়েড নোটিফিকেশনে জানানো হবে।,When something new is published you are told through an Android notification.
নতুন গান,New song
নতুন গান জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,Complete your profile first to submit a new song.
নতুন ছবি,New photos
নতুন প্রকাশিত প্রবন্ধ এলে জানান,Tell me when a new article is published
নতুন প্রবন্ধ,New article
নতুন প্রবন্ধ জমা দিতে আগে প্রোফাইল সম্পূর্ণ করুন।,Complete your profile first to submit a new article.
নতুন প্রবন্ধসমূহ পুনরায় সিঙ্ক করবে,New articles will sync again
নতুন প্লেলিস্ট,New playlist
নতুন ভিডিও,New videos
নতুন ভিডিও যোগ হলে,When a new video is added
নভে,Nov
নভেম্বর,November
